Date,RSXFS,INDPRO,UMCSENT,CPIAUCSL,DFF,UNRATE,GDPC1,Close_AAPL_stock_data,Close_GOOGL_stock_data,Close_MSFT_stock_data,Close_BABA_stock_data,Close_WMT_stock_data
2023-09-08,608307.0,103.3081,67.8,307.288,5.33,3.8,,178.17999267578100,136.3800048828130,334.2699890136720,90.05000305175780,53.349998474121100
2023-09-09,608307.0,103.3081,67.8,307.288,5.33,3.8,,,,,,53.733333587646500
2023-09-10,608307.0,103.3081,67.8,307.288,5.33,3.8,,,,,,54.20333480834960
2023-09-11,608307.0,103.3081,67.8,307.288,5.33,3.8,,179.36000061035200,136.9199981689450,337.94000244140600,88.70999908447270,53.856666564941400
2023-09-12,608307.0,103.3081,67.8,307.288,5.33,3.8,,176.3000030517580,135.33999633789100,331.7699890136720,88.30000305175780,53.42333221435550
2023-09-13,608307.0,103.3081,67.8,307.288,5.33,3.8,,174.2100067138670,136.7100067138670,336.05999755859400,87.63999938964840,53.823333740234400
2023-09-14,608307.0,103.3081,67.8,307.288,5.33,3.8,,175.74000549316400,138.10000610351600,338.70001220703100,88.0,54.4900016784668
2023-09-15,608307.0,103.3081,67.8,307.288,5.33,3.8,,175.00999450683600,137.39999389648400,330.2200012207030,87.06999969482420,54.59000015258790
2023-09-16,608307.0,103.3081,67.8,307.288,5.33,3.8,,,,,,54.779998779296900
2023-09-17,608307.0,103.3081,67.8,307.288,5.33,3.8,,,,,,54.84000015258790
2023-09-18,608307.0,103.3081,67.8,307.288,5.33,3.8,,177.97000122070300,138.2100067138670,329.05999755859400,87.0199966430664,54.85333251953130
2023-09-19,608307.0,103.3081,67.8,307.288,5.33,3.8,,179.07000732421900,138.0399932861330,328.6499938964840,87.11000061035160,55.08333206176760
2023-09-20,608307.0,103.3081,67.8,307.288,5.33,3.8,,175.49000549316400,133.74000549316400,320.7699890136720,85.73999786376950,54.880001068115200
2023-09-21,608307.0,103.3081,67.8,307.288,5.33,3.8,,173.92999267578100,130.44000244140600,319.5299987792970,84.11000061035160,54.473331451416000
2023-09-22,608307.0,103.3081,67.8,307.288,5.33,3.8,,174.7899932861330,130.25,317.010009765625,88.30000305175780,54.459999084472700
2023-09-23,608307.0,103.3081,67.8,307.288,5.33,3.8,,,,,,54.63666534423830
2023-09-24,608307.0,103.3081,67.8,307.288,5.33,3.8,,,,,,53.973331451416000
2023-09-25,608307.0,103.3081,67.8,307.288,5.33,3.8,,176.0800018310550,131.11000061035200,317.5400085449220,87.22000122070310,54.116668701171900
2023-09-26,608307.0,103.3081,67.8,307.288,5.33,3.8,,171.9600067138670,128.57000732421900,312.1400146484380,85.91000366210940,54.356666564941400
2023-09-27,608307.0,103.3081,67.8,307.288,5.33,3.8,,170.42999267578100,130.5399932861330,312.7900085449220,86.19000244140630,54.16666793823240
2023-09-28,608307.0,103.3081,67.8,307.288,5.33,3.8,,170.69000244140600,132.30999755859400,313.6400146484380,85.54000091552730,53.90666580200200
2023-09-29,608307.0,103.3081,67.8,307.288,5.33,3.8,,171.2100067138670,130.86000061035200,315.75,86.73999786376950,54.18000030517580
2023-09-30,608307.0,103.3081,67.8,307.288,5.33,3.8,,,,,,53.310001373291000
2023-10-01,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,,,,,53.366668701171900
2023-10-02,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,173.75,134.1699981689450,321.79998779296900,86.52999877929690,53.029998779296900
2023-10-03,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,172.39999389648400,132.42999267578100,313.3900146484380,84.54000091552730,53.66666793823240
2023-10-04,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,173.66000366210900,135.24000549316400,318.9599914550780,84.08000183105470,53.026668548584000
2023-10-05,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,174.91000366210900,135.07000732421900,319.3599853515630,83.66999816894530,52.13666534423830
2023-10-06,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,177.49000549316400,137.5800018310550,327.260009765625,86.05999755859380,51.9466667175293
2023-10-07,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,,,,,52.53333282470700
2023-10-08,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,,,,,52.74333190917970
2023-10-09,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,178.99000549316400,138.4199981689450,329.82000732421900,84.8499984741211,52.983333587646500
2023-10-10,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,178.38999938964800,138.05999755859400,328.3900146484380,87.16999816894530,53.276668548584000
2023-10-11,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,179.8000030517580,140.5500030517580,332.4200134277340,87.77999877929690,53.73666763305660
2023-10-12,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,180.7100067138670,138.97000122070300,331.1600036621090,84.51000213623050,53.80666732788090
2023-10-13,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,178.85000610351600,137.36000061035200,327.7300109863280,84.0199966430664,53.8466682434082
2023-10-14,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,,,,,53.59000015258790
2023-10-15,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,,,,,52.91999816894530
2023-10-16,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,178.72000122070300,139.10000610351600,332.6400146484380,84.30999755859380,53.66999816894530
2023-10-17,606596.0,102.5781,63.8,307.531,5.33,3.8,22679.255,177.14999389648400,139.72000122070300,332.05999755859400,83.91000366210940,54.41666793823240
